source_row_index,module_name,option_name,skus,qty,option_price,matched_rule_id
22,Power Cords,"Jumper Cord - C13/C14, 0,6M, 250V, 10A (US,EUR)",450-AADX,2,40.0,UNKNOWN-000
52,,"480GB SSD SATA Mixed Use 6Gbps 512e 2.5in Hot-Plug, CUS Kit",345-BDPH,1,1456.99,UNKNOWN-000
54,,"Single, Hot-Plug MHS Power Supply, 800W,Customer Kit",384-BDQX,1,587.99,UNKNOWN-000
56,,Intel E810-XXV 25GbE SFP28 Dual Port PCIe Low Profile Customer Kit,540-BCXX,1,704.99,UNKNOWN-000
