source_row_index,module_name,option_name,skus,qty,option_price,matched_rule_id
27,Power Cords,Rack Power Cord 2M (C13/C14 10A),450-AADY,2,50.0,UNKNOWN-000
72,Power Cords,Rack Power Cord 2M (C13/C14 10A),450-AADY,2,50.0,UNKNOWN-000
120,Power Cords,Rack Power Cord 2M (C13/C14 10A),450-AADY,2,50.0,UNKNOWN-000
167,Power Cords,Rack Power Cord 2M (C13/C14 10A),450-AADY,2,50.0,UNKNOWN-000
214,Power Cords,Rack Power Cord 2M (C13/C14 10A),450-AADY,2,50.0,UNKNOWN-000
260,Power Cords,Rack Power Cord 2M (C13/C14 10A),450-AADY,2,50.0,UNKNOWN-000
308,Power Cords,Rack Power Cord 2M (C13/C14 10A),450-AADY,2,50.0,UNKNOWN-000
354,Power Cords,Rack Power Cord 2M (C13/C14 10A),450-AADY,2,50.0,UNKNOWN-000
